X1,X2,y
1.297719822,0.80592122,0.2989683
1.267323479,0.799034105,0.318133656
1.236881686,0.792169296,0.337201487
1.206317356,0.785296346,0.356121029
1.175553398,0.778384812,0.374841517
1.144512723,0.771404248,0.393312188
1.113118242,0.764324208,0.411482277
1.081305344,0.757109133,0.429303819
1.049059341,0.749703002,0.446740049
1.016378022,0.74204468,0.463757001
0.983259177,0.734073032,0.480320708
0.949700597,0.725726923,0.496397203
0.91570007,0.716945218,0.511952521
0.881255389,0.707666782,0.526952694
0.846362396,0.697840937,0.541348354
0.811009158,0.687458842,0.555028512
0.775181794,0.676522113,0.567866778
0.738866425,0.665032365,0.579736761
0.70204917,0.652991214,0.590512069
0.66471615,0.640400276,0.600066312
0.626853485,0.627261167,0.608273099
0.588467883,0.613568137,0.615026657
0.549648406,0.599285962,0.620303687
0.510504707,0.584372054,0.624101509
0.471146437,0.568783823,0.626417443
0.431683246,0.552478681,0.627248808
0.392224787,0.535414039,0.626592924
0.35288071,0.517547307,0.624447111
0.313767223,0.498855645,0.620824938
0.275026751,0.47939521,0.615804977
0.236808279,0.459241907,0.609482051
0.199260787,0.438471641,0.601950982
0.162533259,0.417160317,0.593306591
0.126774677,0.395383841,0.583643702
0.092134023,0.373218118,0.573057136
0.058737004,0.350757638,0.56166907
0.026616224,0.328171231,0.549711106
-0.004218989,0.30564631,0.537442197
-0.033759307,0.283370289,0.525121299
-0.061995402,0.261530582,0.513007368
-0.088917947,0.240314603,0.501359358
-0.114517612,0.219909766,0.490436224
-0.138796399,0.200490108,0.480471013
-0.161801628,0.182176156,0.471593127
-0.183591945,0.165075062,0.463906061
-0.204225998,0.149293977,0.457513309
-0.223762436,0.134940052,0.452518364
-0.242259906,0.122120438,0.449024721
-0.259777056,0.110942285,0.447135874
-0.276359686,0.101503442,0.446934899
-0.292002208,0.093864542,0.448423203
-0.306686183,0.088076916,0.451581778
-0.320393176,0.084191894,0.456391614
-0.333104749,0.082260807,0.462833701
-0.344802466,0.082334985,0.470889029
-0.355467889,0.084465759,0.480538588
-0.36508414,0.088658756,0.491753114
-0.373640579,0.094736791,0.504462319
-0.381128121,0.102476976,0.518585658
-0.387537685,0.111656423,0.53404259
-0.392860187,0.122052244,0.550752571
-0.397086545,0.133441551,0.568635057
-0.400207675,0.145601456,0.587609505
-0.402207084,0.158303624,0.607589288
-0.403038625,0.171297932,0.628463444
-0.402648743,0.184328809,0.650114926
-0.400983879,0.197140685,0.67242669
-0.397990476,0.20947799,0.695281689
-0.393614978,0.221085153,0.718562877
-0.387803827,0.231706604,0.742153209
-0.380524247,0.241113653,0.76593446
-0.371826581,0.249185127,0.789783687
-0.361781953,0.255826732,0.81357677
-0.35046149,0.260944176,0.837189587
-0.337936314,0.264443165,0.860498019
-0.32427755,0.266229407,0.883377943
-0.309556323,0.266208608,0.90570524
-0.293825229,0.26432227,0.927359957
-0.277062751,0.260655073,0.948238821
-0.259228843,0.255327494,0.968242729
-0.240283459,0.248460007,0.987272577
-0.220186556,0.240173088,1.005229262
-0.198898086,0.230587212,1.02201368
-0.176378004,0.219822856,1.037526727
-0.152608639,0.20802353,1.051694372
-0.12766181,0.195424899,1.064542868
-0.101631711,0.182285661,1.076123542
-0.074612536,0.168864517,1.086487721
-0.046698478,0.155420166,1.09568673
-0.017983731,0.142211308,1.103771895
0.011437513,0.129496643,1.110794543
0.04147469,0.117503837,1.11680857
0.072051762,0.106336428,1.121878153
0.103096323,0.096066918,1.12607004
0.134535965,0.08676781,1.129450978
0.166298282,0.078511609,1.132087715
0.198310867,0.071370817,1.134046997
0.230501313,0.065417938,1.135395573
0.262782856,0.060706989,1.136174172
0.29501131,0.057218041,1.136319455
0.327028131,0.05491268,1.135742065
0.358674776,0.053752491,1.134352642
0.389792701,0.053699059,1.132061831
0.420223362,0.05471397,1.128780274
0.449808217,0.056758807,1.124418614
0.478400923,0.05979892,1.118906025
0.505903942,0.063814702,1.112245814
0.532231937,0.06879031,1.10445982
0.557299572,0.074709902,1.095569882
0.58102151,0.081557634,1.085597838
0.603312415,0.089317664,1.074565529
0.624086949,0.097974148,1.062494792
0.643268343,0.107498603,1.049411467
0.66081409,0.117811992,1.035357393
0.676690252,0.128822635,1.02037841
0.690862888,0.140438854,1.004520356
0.70329806,0.15256897,0.987829072
0.713961828,0.165121306,0.970350396
0.722820253,0.178004183,0.952130169
